,id,,pg_category,,pg_desc,,createdat,,
",(",186,",'",Include,"','",스마트로,"',",20220708,),",(186,'Include','스마트로',20220708)"
",(",187,",'",Include,"','",케이엘넷,"',",20220708,),",(187,'Include','케이엘넷',20220708)"
",(",188,",'",Include,"','",금융결제원,"',",20220708,),",(188,'Include','금융결제원',20220708)"
",(",189,",'",Include,"','",커넥,"',",20220708,),",(189,'Include','커넥',20220708)"
",(",190,",'",Include,"','",인터파크,"',",20220708,),",(190,'Include','인터파크',20220708)"
",(",191,",'",Include,"','",페이네스트,"',",20220708,),",(191,'Include','페이네스트',20220708)"
",(",192,",'",Exclude,"','",마이비트,"',",20220708,),",(192,'Exclude','마이비트',20220708)"
",(",193,",'",Exclude,"','",마이비얼룩제거제,"',",20220708,),",(193,'Exclude','마이비얼룩제거제',20220708)"
",(",194,",'",Exclude,"','",티머니고속버,"',",20220708,),",(194,'Exclude','티머니고속버',20220708)"
",(",195,",'",Exclude,"','",티머니시외,"',",20220708,),",(195,'Exclude','티머니시외',20220708)"
",(",196,",'",Exclude,"','",g마켓광고비,"',",20220708,),",(196,'Exclude','g마켓광고비',20220708)"
",(",197,",'",Exclude,"','",엔에이치엔위투주식회,"',",20220708,),",(197,'Exclude','엔에이치엔위투주식회',20220708)"
",(",198,",'",Exclude,"','",폰카카오,"',",20220708,),",(198,'Exclude','폰카카오',20220708)"
",(",199,",'",Exclude,"','",카카오뱅크,"',",20220708,),",(199,'Exclude','카카오뱅크',20220708)"
",(",200,",'",Exclude,"','",카카오지,"',",20220708,),",(200,'Exclude','카카오지',20220708)"
",(",201,",'",Exclude,"','",카카오스타,"',",20220708,),",(201,'Exclude','카카오스타',20220708)"
",(",202,",'",Exclude,"','",카카오스타일,"',",20220708,),",(202,'Exclude','카카오스타일',20220708)"
",(",203,",'",Exclude,"','",카카오엔터테인,"',",20220708,),",(203,'Exclude','카카오엔터테인',20220708)"
",(",204,",'",Exclude,"','",카카오인베,"',",20220708,),",(204,'Exclude','카카오인베',20220708)"
",(",205,",'",Exclude,"','",세틀뱅크수수료,"',",20220708,),",(205,'Exclude','세틀뱅크수수료',20220708)"
",(",206,",'",Exclude,"','",제이원스토어,"',",20220708,),",(206,'Exclude','제이원스토어',20220708)"
",(",207,",'",Exclude,"','",성강티몬반환,"',",20220708,),",(207,'Exclude','성강티몬반환',20220708)"
",(",208,",'",Exclude,"','",뷰티몬코리아,"',",20220708,),",(208,'Exclude','뷰티몬코리아',20220708)"
",(",209,",'",Exclude,"','",셀러론대출,"',",20220708,),",(209,'Exclude','셀러론대출',20220708)"
",(",210,",'",Exclude,"','",엔에이치엔위투주식회,"',",20220708,),",(210,'Exclude','엔에이치엔위투주식회',20220708)"
",(",211,",'",Exclude,"','",원페이스,"',",20220708,),",(211,'Exclude','원페이스',20220708)"
",(",212,",'",Exclude,"','",한화투자증권,"',",20220708,),",(212,'Exclude','한화투자증권',20220708)"
",(",213,",'",Exclude,"','",모인컴퍼니,"',",20220708,),",(213,'Exclude','모인컴퍼니',20220708)"
",(",214,",'",Exclude,"','",미래야놀자,"',",20220708,),",(214,'Exclude','미래야놀자',20220708)"
",(",215,",'",Exclude,"','",지엘엔에스,"',",20220708,),",(215,'Exclude','지엘엔에스',20220708)"
",(",216,",'",Exclude,"','",골프존유통,"',",20220708,),",(216,'Exclude','골프존유통',20220708)"
",(",217,",'",Exclude,"','",골프존커머스,"',",20220708,),",(217,'Exclude','골프존커머스',20220708)"
",(",218,",'",Exclude,"','",스마트로보틱스,"',",20220708,),",(218,'Exclude','스마트로보틱스',20220708)"
